Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
stai_4_4,port5_final_survey,,radio,I wish I could be as happy as others seem to be.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,4,stai_4,,
stai_5_4,port5_final_survey,,radio,I feel like a failure.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,5,stai_4,,
stai_6_4,port5_final_survey,,radio,I feel rested.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,6,stai_4,,
stai_7_4,port5_final_survey,,radio,"I am ""calm, cool, and collected"".","1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,7,stai_4,,
stai_8_4,port5_final_survey,,radio,I feel that difficulties are piling up so that I cannot overcome them.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,8,stai_4,,
stai_9_4,port5_final_survey,,radio,I worry too much over something that really doesn't matter.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,9,stai_4,,
stai_10_4,port5_final_survey,,radio,I am happy.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,10,stai_4,,
stai_11_4,port5_final_survey, Read each statement and then select the appropriate statement to indicate <u>how you generally feel</u>.,radio,I have disturbing thoughts.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,11,stai_2_4,,
stai_12_4,port5_final_survey,,radio,I lack self-confidence.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,12,stai_2_4,,
stai_13_4,port5_final_survey,,radio,I feel secure.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,13,stai_2_4,,
stai_14_4,port5_final_survey,,radio,I make decisions easily.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,14,stai_2_4,,
stai_15_4,port5_final_survey,,radio,I feel inadequate.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,15,stai_2_4,,
stai_16_4,port5_final_survey,,radio,I am content.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,16,stai_2_4,,
stai_17_4,port5_final_survey,,radio,Some unimportant thought runs through my mind and bothers me.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,17,stai_2_4,,
stai_18_4,port5_final_survey,,radio,I take disappointments so keenly that I can't put them out of my mind.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,18,stai_2_4,,
stai_19_4,port5_final_survey,,radio,I am a steady person.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,19,stai_2_4,,
stai_20_4,port5_final_survey,,radio,I get into a state of tension or turmoil as I think over my recent concerns and interests.,"1, Almost never | 2, Sometimes | 3, Often | 4, Always",,,,,,,y,,20,stai_2_4,,
fss_1_4,port5_final_survey,"The items in this questionnaire refer to things and experiences that may cause fear or other similar, unpleasant feelings.

Read each item and decide <u>how much you are disturbed by it nowadays </u>. Then, select the option that most closely describes how disturbed you feel, using the scale shown below:

<i>Choose only one option per item. Answer all of the items. Please work rapidly and do not spend too much time on any one statement.</i>



I fear... ",radio,Open wounds,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,1,fss_group_1_4,,
fss_2_4,port5_final_survey,,radio,Being alone,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,2,fss_group_1_4,,
fss_3_4,port5_final_survey,,radio,Being in a strange place,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,3,fss_group_1_4,,
fss_4_4,port5_final_survey,,radio,Dead people,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,4,fss_group_1_4,,
fss_5_4,port5_final_survey,,radio,Speaking in public,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,5,fss_group_1_4,,
fss_6_4,port5_final_survey,,radio,Crossing streets,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,6,fss_group_1_4,,
fss_7_4,port5_final_survey,,radio,Falling,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,7,fss_group_1_4,,
fss_8_4,port5_final_survey,,radio,Being teased,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,8,fss_group_1_4,,
fss_9_4,port5_final_survey,,radio,Failure,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,9,fss_group_1_4,,
fss_10_4,port5_final_survey,,radio,Entering a room where people are already seated,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,10,fss_group_1_4,,
fss_11_4,port5_final_survey,I fear... ,radio,High places on land,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,11,fss_2_4,,
fss_12_4,port5_final_survey,,radio,People with deformities,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,12,fss_2_4,,
fss_13_4,port5_final_survey,,radio,Worms,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,13,fss_2_4,,
fss_14_4,port5_final_survey,,radio,Receiving injections,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,14,fss_2_4,,
fss_15_4,port5_final_survey,,radio,Strangers,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,15,fss_2_4,,
fss_16_4,port5_final_survey,,radio,Bats,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,16,fss_2_4,,
fss_17_4,port5_final_survey,,radio,Journeys by train,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,17,fss_2_4,,
fss_18_4,port5_final_survey,,radio,Journeys by bus,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,18,fss_2_4,,
fss_19_4,port5_final_survey,,radio,Journeys by car,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,19,fss_2_4,,
fss_20_4,port5_final_survey,,radio,People in authority,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,20,fss_2_4,,
fss_21_4,port5_final_survey,I fear... ,radio,Flying insects,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,21,fss_3_4,,
fss_22_4,port5_final_survey,,radio,Seeing other people injected,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,22,fss_3_4,,
fss_23_4,port5_final_survey,,radio,Crowds,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,23,fss_3_4,,
fss_24_4,port5_final_survey,,radio,Large open spaces,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,24,fss_3_4,,
fss_25_4,port5_final_survey,,radio,One person bullying another,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,25,fss_3_4,,
fss_26_4,port5_final_survey,,radio,Tough-looking people,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,26,fss_3_4,,
fss_27_4,port5_final_survey,,radio,Being watched working,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,27,fss_3_4,,
fss_28_4,port5_final_survey,,radio,Dirt,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,28,fss_3_4,,
fss_29_4,port5_final_survey,,radio,Crawling insects,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,29,fss_3_4,,
fss_30_4,port5_final_survey,,radio,Sight of fighting,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,30,fss_3_4,,
fss_31_4,port5_final_survey,I fear... ,radio,Ugly people,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,31,fss_4_4,,
fss_32_4,port5_final_survey,,radio,Sick people,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,32,fss_4_4,,
fss_33_4,port5_final_survey,,radio,Being criticised,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,33,fss_4_4,,
fss_34_4,port5_final_survey,,radio,Strange shapes,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,34,fss_4_4,,
fss_35_4,port5_final_survey,,radio,Being in an elevator,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,35,fss_4_4,,
fss_36_4,port5_final_survey,,radio,Witnessing surgical operations,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,36,fss_4_4,,
fss_37_4,port5_final_survey,,radio,Mice,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,37,fss_4_4,,
fss_38_4,port5_final_survey,,radio,Human blood,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,38,fss_4_4,,
fss_39_4,port5_final_survey,,radio,Animal blood,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,39,fss_4_4,,
fss_40_4,port5_final_survey,,radio,Enclosed places,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,40,fss_4_4,,
fss_41_4,port5_final_survey,I fear... ,radio,Being rejected by others,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,41,fss_5_4,,
fss_42_4,port5_final_survey,,radio,Airplanes,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,42,fss_5_4,,
fss_43_4,port5_final_survey,,radio,Medical odors,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,43,fss_5_4,,
fss_44_4,port5_final_survey,,radio,Feeling disapproved of,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,44,fss_5_4,,
fss_45_4,port5_final_survey,,radio,Harmless snakes,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,45,fss_5_4,,
fss_46_4,port5_final_survey,,radio,Cemeteries,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,46,fss_5_4,,
fss_47_4,port5_final_survey,,radio,Being ignored,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,47,fss_5_4,,
fss_48_4,port5_final_survey,,radio,Nude men,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,48,fss_5_4,,
fss_49_4,port5_final_survey,,radio,Nude women,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,49,fss_5_4,,
fss_50_4,port5_final_survey,,radio,Doctors,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,50,fss_5_4,,
fss_51_4,port5_final_survey,,radio,Making mistakes,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,51,fss_5_4,,
fss_52_4,port5_final_survey,,radio,Looking foolish,"1, Not at all | 2, A little | 3, A fair amount | 4, Much | 5, Very much",,,,,,,y,,52,fss_5_4,,
pswq_1_4,port5_final_survey,"Rate each of the following statements on a scale of 1 ""not at all typical of me"" to 5 ""very typical of me"".
 
 Please do not leave any items blank.",radio,"If I do not have enough time to do everything, I do not worry about it.","1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,1,pswq_1_4,,
pswq_2_4,port5_final_survey,,radio,My worries overwhelm me.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,2,pswq_1_4,,
pswq_3_4,port5_final_survey,,radio,I do not tend to worry about things.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,3,pswq_1_4,,
pswq_4_4,port5_final_survey,,radio,Many situations make me worry.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,4,pswq_1_4,,
pswq_5_4,port5_final_survey,,radio,"I know I should not worry about things, but I just cannot help it.","1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,5,pswq_1_4,,
pswq_6_4,port5_final_survey,,radio,When I am under pressure I worry a lot.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,6,pswq_1_4,,
pswq_7_4,port5_final_survey,,radio,I am always worrying about something.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,7,pswq_1_4,,
pswq_8_4,port5_final_survey,,radio,I find it easy to dismiss worrisome thoughts.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,8,pswq_1_4,,
pswq_9_4,port5_final_survey,"Rate each of the following statements on a scale of 1 ""not at all typical of me"" to 5 ""very typical of me"".
 ",radio,"As soon as I finish one task, I start to worry about everything else I have to do.","1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,9,pswq_2_4,,
pswq_10_4,port5_final_survey,,radio,I never worry about anything.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,10,pswq_2_4,,
pswq_11_4,port5_final_survey,,radio,"When there is nothing more I can do about a concern, I do not worry about it any more.","1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,11,pswq_2_4,,
pswq_12_4,port5_final_survey,,radio,I have been a worrier all my life.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,12,pswq_2_4,,
pswq_13_4,port5_final_survey,,radio,I notice that I have been worrying about things.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,13,pswq_2_4,,
pswq_14_4,port5_final_survey,,radio,"Once I start worrying, I cannot stop.","1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,14,pswq_2_4,,
pswq_15_4,port5_final_survey,,radio,I worry all the time.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,15,pswq_2_4,,
pswq_16_4,port5_final_survey,,radio,I worry about projects until they are all done.,"1, 1. Not at all typical of me | 2, 2 | 3, 3 | 4, 4 | 5, 5. Very typical of me",,,,,,,y,,16,pswq_2_4,,
ius12_1_4,port5_final_survey,"You will find below a series of statements that describe how people may react to the uncertainties of life.
Please use the scale below to describe <u>to what extent each item is characteristic of you.</u> 

<i>Pick a number (1 to 5) that describes you best.</i>",radio,Unforeseen events upset me greatly.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,1,ius_4,,
ius12_2_4,port5_final_survey,,radio,It frustrates me not having all the information I need.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,2,ius_4,,
ius12_3_4,port5_final_survey,,radio,One should always look ahead so as to avoid surprises.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,3,ius_4,,
ius12_4_4,port5_final_survey,,radio,"A small, unforeseen event can spoil everything, even with the best of planning.","1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,4,ius_4,,
ius12_5_4,port5_final_survey,,radio,I always want to know what the future has in store for me.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,5,ius_4,,
ius12_6_4,port5_final_survey,,radio,I cant stand being taken by surprise.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,6,ius_4,,
ius12_7_4,port5_final_survey,,radio,I should be able to organize everything in advance.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,7,ius_4,,
ius12_8_4,port5_final_survey,,radio,Uncertainty keeps me from living a full life.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,8,ius_4,,
ius12_9_4,port5_final_survey,,radio,"When it's time to act, uncertainty paralyses me.","1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,9,ius_4,,
ius12_10_4,port5_final_survey,,radio,When I am uncertain I can't function very well.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,10,ius_4,,
ius12_11_4,port5_final_survey,,radio,The smallest doubt can stop me from acting.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,11,ius_4,,
ius12_12_4,port5_final_survey,,radio,I must get away from all uncertain situations.,"1, 1. Not at all characteristic of me | 2, 2 | 3, 3. Somewhat characteristic of me | 4, 4 | 5, 5. Entirely characteristic of me",,,,,,,y,,12,ius_4,,
direct_to_stt_4,port5_final_survey,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""font-weight: normal;"">Please click </span>'Submit'<span style=""font-weight: normal;""> to be redirected to another website (Qualtrics) to complete the final task. This task </span>must<span style=""font-weight: normal;""> be completed in order to progress to the next stage of the study.</span><br /><br />Thank you! </p></div>",,,,,,,,,,,,,
sst_qualtrics_complete_4,port5_final_survey,,yesno,SST complete in Qualtrics for final survey,,,,,,,,,,,,, @HIDDEN-SURVEY
sessionhelpful_4_added,final_survey_2_questions,,yesno,Did you find your sessions with Ieso helpful?,,,,,,,,,,,,,
symptomsimprove_4_added,final_survey_2_questions,,checkbox,How much did your symptoms and day-to-day functioning improve after your sessions with Ieso?,"4, Much better | 3, A little better | 2, No change | 1, A little worse | 0, Much worse",,,,,,,,,,,,
screening_elig_decision,general_contact,,yesno,Screening survey eligibility decision,,"This field is appearing because this participant had a GAD7 score of 8-9 in their screening survey. Note that marking this as ""No"" will trigger an email notification to the participant.",,,,,[phone_eligibility_gad8] = '1' and [phone_eligibility_gad10] = '0',,,,,,
text_reminder_main_sent,general_contact,,yesno,"<div class=""rich-text-field-label""><p>Text message reminder sent for main survey</p></div>",,,,,,,,,,,,,
text_reminder_main_date,general_contact,,text,"<div class=""rich-text-field-label""><p>Text reminder sent date</p></div>",,,date_dmy,,,,,,,,,,
text_reminder_final_sent,general_contact,,yesno,"<div class=""rich-text-field-label""><p>Text message reminder sent for final survey</p></div>",,,,,,,,,,,,,
text_reminder_final_date,general_contact,,text,"<div class=""rich-text-field-label""><p>Text reminder sent date</p></div>",,,date_dmy,,,,,,,,,,
final_survey_2qs_sent,general_contact,,checkbox,Additional 2 questions sent?,"1, Yes",Only relevant for participants that completed the final survey before 03/12/2021,,,,,,,,,,,
contact_history,general_contact,,notes,Contact notes:,,,,,,,,,LV,,,,
withdraw_date,withdrawal,,text,Date participant withdrew,,,date_ymd,,,,,y,,,,,
withdrawal_team_member,withdrawal,,dropdown,Team member completing withdrawal ,"1, Bridie | 2, Jade | 3, Molly | 4, Tom | 5, Other",,,,,,,,,,,,
withdrawal_member_other,withdrawal,,text,Withdrawal team member,,,,,,,[withdrawal_team_member] = '5',,,,,,
withdrawal_reason,withdrawal,,radio,Reason patient withdrew from study,"1, Risk or Safety concerns | 2, Didn't consent to all items | 3, Not motivated or couldn't commit | 4, Didn't want CBT once explained | 5, Didn't like the sound of the Surveys or Flare app | 6, No longer Eligible ie) just started therapy | 7, Couldn't get hold of them ( no reason given) | 8, Other",,,,,,[withdraw_date] <> '',,,,,,
withdrawal_reason_other,withdrawal,,text,Other (please give details) ,,,,,,,[withdrawal_reason] = '8' and [withdraw_date] <> '',,,,,,
withdrawal_stage,withdrawal,,radio,Stage dropped out ,"0, Pre-screening ( no reply after GLAD). | 1, Screening (PORT 2) | 2, Phone call | 3, Full Consent & Survey 1 (PORT 3) | 4, Flare app (PORT 4) | 5, Ieso treatment | 6, Final survey (Port 5)",,,,,,[withdraw_date] <> '',,,,,,
withdrawal_delete_data,withdrawal,,radio,Data deletion requested?,"1, Yes (data must be deleted) | 0, No (data can be kept)",,,,,,[withdraw_date] <> '',,,,,,
final_survey_ieso_dropout,withdrawal,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Final survey triggered after treatment drop-out</span></p></div>",,"This field was created to trigger the final survey for participants that dropped out of treatment prior to 03/12/21, which is when the auto invitation trigger was changed to enable this.",,,,,[withdrawal_stage] = '5' and [withdrawal_delete_data] = '0',,,,,,
withdrawal_deletion_done,withdrawal,,yesno,Data deletion complete,,Reminder: make sure that data from both Qualtrics and the FLARe app have also been deleted (if applicable).,,,,,[withdrawal_delete_data] = '1',,,,,,
withdrawal_comments,withdrawal,,notes,Comments,,,,,,,,,,,,,
